ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
300590.SZ,20201201,34.48,9.5257,0.99,51.4684,7.9932,13.2678,835164.216,589957.11
300590.SZ,20201130,33.99,10.0336,1.09,50.737,7.8796,13.0793,823295.583,581573.1488
300590.SZ,20201127,32.21,7.6543,0.79,48.08,7.467,12.3943,780180.957,551117.1263
300590.SZ,20201126,33.55,11.7348,1.24,50.0802,7.7776,12.91,812638.035,574044.6938
300590.SZ,20201125,32.09,12.2592,1.24,47.9009,7.4392,12.3481,777274.353,549063.9113
300590.SZ,20201124,31.5,6.3486,0.53,47.0202,7.3024,12.1211,762983.55,538968.9375
300590.SZ,20201123,31.4,8.0194,0.63,46.8709,7.2792,12.0826,760561.38,537257.925
300590.SZ,20201120,32.7,9.7875,0.8,48.8114,7.5806,12.5829,792049.59,559501.0875
300590.SZ,20201119,31.29,11.0798,0.91,46.7067,7.2537,12.0403,757896.993,535375.8113
300590.SZ,20201118,33.2,14.1335,1.24,49.5578,7.6965,12.7753,804160.44,568056.15
300590.SZ,20201117,35.84,16.5936,1.63,53.4985,8.3085,13.7911,868105.728,613226.88
300590.SZ,20201116,32.83,11.8791,1.06,49.0055,7.6107,12.6329,795198.411,561725.4038
300590.SZ,20201113,31.16,7.4173,0.55,46.5127,7.2236,11.9903,754748.172,533151.495
300590.SZ,20201112,32.14,10.9569,0.86,47.9755,7.4507,12.3674,778485.438,549919.4175
300590.SZ,20201111,30.86,10.2866,0.95,46.0648,7.154,11.8748,747481.662,528018.4575
300590.SZ,20201110,30.01,10.3246,1.14,44.796,6.957,11.5478,726893.217,513474.8513
300590.SZ,20201109,32.0,17.2941,2.97,47.7665,7.4183,12.3135,775094.4,547524.0
300590.SZ,20201106,29.65,18.5951,7.6,44.2587,6.8735,11.4092,718173.405,507315.2063
300590.SZ,20201105,28.03,7.2713,4.91,41.8405,6.498,10.7859,678934.251,479596.8038
300590.SZ,20201104,23.36,0.8728,0.56,34.8696,5.4154,8.9889,565818.912,399692.52
300590.SZ,20201103,23.6,1.3167,0.9,35.2278,5.471,9.0812,571632.12,403798.95
300590.SZ,20201102,22.8,1.0723,0.73,34.0336,5.2855,8.7734,552254.76,390110.85
300590.SZ,20201030,22.88,1.707,1.24,34.1531,5.3041,8.8042,554192.496,390120.588
300590.SZ,20201029,23.6,2.4472,2.16,35.2278,5.471,9.0812,571632.12,402397.11
300590.SZ,20201028,24.92,1.3137,1.08,37.1982,5.895,9.5892,603604.764,424904.067
300590.SZ,20201027,25.4,0.8061,0.48,37.9147,6.0085,9.7739,615231.18,433088.415
300590.SZ,20201026,25.45,1.1301,0.67,37.9893,6.0203,9.7931,616442.265,433940.9513
300590.SZ,20201023,26.1,1.1876,0.73,38.9596,6.1741,10.0432,632186.37,445023.9225
300590.SZ,20201022,26.77,1.2215,0.78,39.9597,6.3326,10.301,648414.909,456447.9083
300590.SZ,20201021,26.79,1.7166,1.2,39.9895,6.3373,10.3087,648899.343,456788.9228
300590.SZ,20201020,27.34,3.1295,3.07,40.8105,6.4674,10.5204,662221.278,466166.8215
300590.SZ,20201019,25.9,1.205,1.13,38.661,6.1268,9.9663,627342.03,441613.7775
300590.SZ,20201016,25.7,0.8529,0.77,38.3625,6.0795,9.8893,622497.69,438203.6325
300590.SZ,20201015,25.97,0.8846,0.81,38.7655,6.1433,9.9932,629037.549,442807.3283
300590.SZ,20201014,26.24,1.0726,1.01,39.1685,6.2072,10.0971,635577.408,447411.024
