ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
688080.SH,20220908,42.5,2.8818,0.96,21.2315,2.841,4.9567,222822.3405,160542.8405
688080.SH,20220907,45.1,3.3642,1.17,22.5304,3.0148,5.2599,236453.8249,170364.2849
688080.SH,20220906,44.3,2.6676,0.89,22.1308,2.9613,5.1666,232259.522,167342.302
688080.SH,20220905,44.85,3.3589,1.09,22.4055,2.9981,5.2308,235143.1052,169419.9152
688080.SH,20220902,48.06,3.364,1.02,24.0091,3.2126,5.6051,251972.7455,181545.6215
688080.SH,20220901,44.11,2.1999,0.51,22.0358,2.9486,5.1444,231263.375,166624.581
688080.SH,20220831,45.83,2.7423,0.51,22.8951,3.0636,5.345,240281.1262,173121.8442
688080.SH,20220830,49.93,3.2858,0.62,24.9433,3.3376,5.8232,261776.9285,188609.5065
688080.SH,20220829,51.66,3.7676,0.78,25.8076,3.4533,6.025,270847.1085,195144.5445
688080.SH,20220826,48.8,4.5717,1.09,24.3788,3.2621,5.6914,255852.4757,184340.9557
688080.SH,20220825,50.38,7.2065,2.33,25.1681,3.553,5.8757,264136.2239,190309.3719
688080.SH,20220824,52.9,7.8022,4.55,26.427,3.7307,6.1696,277348.2779,199828.6179
688080.SH,20220823,48.48,3.2403,2.61,24.2189,3.419,5.6541,254174.7545,183132.1625
688080.SH,20220822,45.66,1.2366,0.95,22.8102,3.2201,5.3252,239389.8369,172479.6729
688080.SH,20220819,44.81,1.4012,1.08,22.3855,3.1602,5.2261,234933.3901,169268.8161
688080.SH,20220818,46.92,1.7722,1.43,23.4396,3.309,5.4722,245995.8639,177239.2959
688080.SH,20220817,46.76,0.9294,0.74,23.3597,3.2977,5.4535,245157.0033,176634.8993
688080.SH,20220816,46.51,0.8673,0.66,23.2348,3.2801,5.4244,243846.2837,175690.5297
688080.SH,20220815,46.18,1.5108,1.13,23.0699,3.2568,5.3859,242116.1337,174443.9617
688080.SH,20220812,47.34,1.4189,0.96,23.6494,3.3386,5.5212,248197.8729,178825.8369
688080.SH,20220811,48.62,1.4678,1.02,24.2889,3.4289,5.6704,254908.7575,183661.0095
688080.SH,20220810,48.04,0.9985,0.63,23.9991,3.388,5.6028,251867.8879,181470.0719
688080.SH,20220809,47.91,1.1449,0.59,23.9342,3.3788,5.5876,251186.3137,180978.9997
688080.SH,20220808,48.6,1.6847,0.86,24.2789,3.4275,5.6681,254803.9,183585.46
688080.SH,20220805,47.5,2.0591,1.07,23.7294,3.3499,5.5398,249036.7335,179430.2335
688080.SH,20220804,45.57,1.2949,0.6,22.7652,3.2138,5.3147,238917.9778,172139.6998
688080.SH,20220803,44.66,1.7293,0.77,22.3106,3.1496,5.2086,234146.9583,168702.1943
688080.SH,20220802,45.27,2.9333,1.47,22.6153,3.1926,5.2797,237345.1142,171006.4562
688080.SH,20220801,46.95,1.7588,0.82,23.4546,3.3111,5.4757,246153.1503,177352.6203
688080.SH,20220729,45.99,1.9374,0.78,22.975,3.2434,5.3637,241119.9868,173726.2408
688080.SH,20220728,46.51,2.4006,1.02,23.2348,3.2801,5.4244,243846.2837,175690.5297
688080.SH,20220727,45.68,2.2482,0.92,22.8202,3.2215,5.3276,239494.6944,172555.2224
688080.SH,20220726,44.81,1.643,0.6,22.3855,3.1602,5.2261,234933.3901,169268.8161
688080.SH,20220725,44.5,2.5189,0.98,22.2307,3.1383,5.1899,233308.0977,168097.7977
688080.SH,20220722,43.89,3.6251,1.78,21.9259,3.0953,5.1188,230109.9418,165793.5358
688080.SH,20220721,42.72,1.7383,0.87,21.3414,3.0128,4.9823,223975.7738,161373.8858
688080.SH,20220720,42.98,2.7066,1.61,21.4713,3.0311,5.0127,225338.9222,162356.0302
688080.SH,20220719,42.43,3.0127,2.16,21.1966,2.9923,4.9485,222455.339,160278.417
688080.SH,20220718,41.0,1.739,1.35,20.4822,2.8915,4.7817,214958.0226,154876.6226
688080.SH,20220715,38.68,0.9721,0.66,19.3232,2.7279,4.5112,202794.5442,146112.8722
688080.SH,20220714,39.19,1.5113,1.12,19.578,2.7638,4.5706,205468.4123,148039.3863
688080.SH,20220713,37.59,1.17,0.8,18.7787,2.651,4.384,197079.8066,141995.4206
688080.SH,20220712,37.52,1.5803,1.09,18.7437,2.6461,4.3759,196712.8051,141730.9971
688080.SH,20220711,39.08,1.1973,0.83,19.523,2.7561,4.5578,204891.6957,147623.8637
688080.SH,20220708,40.33,1.874,1.41,20.1475,2.8442,4.7036,211445.2939,152345.7119
688080.SH,20220707,38.75,0.9088,0.61,19.3582,2.7328,4.5193,203161.5458,146377.2958
