review_rank,analysis_group_id,company,symbol,event_date,title,primary_category,manual_review_status,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_confidence,manual_note_label,manual_reviewer,manual_review_date,keep_code,noise_code,category_code,confidence_code,note_code,review_reason,suggested_action
84,300098|2017-04-15|其他,高新兴,300098,2017-04-15,关于使用部分暂时闲置自有资金进行现金管理的实施公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
85,300098|2020-01-11|其他,高新兴,300098,2020-01-11,关于为全资子公司申请银行授信提供担保的公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
86,002313|2012-08-10|其他,日海智能,2313,2012-08-10,日海通讯：第二届董事会第二十四次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
87,603236|2021-04-20|其他,移远通信,603236,2021-04-20,:关于召开2020年年度股东大会的通知,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
88,300098|2024-05-31|其他,高新兴,300098,2024-05-31,关于召开2024年第一次临时股东大会通知的提示性公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
89,300638|2020-10-20|其他,广和通,300638,2020-10-20,关于部分募集资金专项账户销户完成的公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
90,300590|2017-04-19|其他,移为通信,300590,2017-04-19,关于召开2016年年度股东大会通知的更正公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
91,300098|2016-12-08|其他,高新兴,300098,2016-12-08,关于召开2016年第六次临时股东大会的提示性公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
92,300098|2017-01-18|其他,高新兴,300098,2017-01-18,关于收到PPP项目成交通知书的公告(2017/1/18),其他,reclassified,1,0,客户/订单,很确定,无特殊备注,user_numeric_review,2026-06-14,1,0,5,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
93,300098|2017-01-14|其他,高新兴,300098,2017-01-14,关于使用部分暂时闲置自有资金进行现金管理的实施公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
94,300098|2017-01-13|其他,高新兴,300098,2017-01-13,关于收到PPP项目成交通知书的公告(2017/1/13),其他,reclassified,1,0,客户/订单,很确定,无特殊备注,user_numeric_review,2026-06-14,1,0,5,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
95,300098|2017-01-06|其他,高新兴,300098,2017-01-06,关于召开2017年第一次临时股东大会的提示性公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
96,300098|2016-11-17|其他,高新兴,300098,2016-11-17,广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易限售股份上市流通事项的核查意见,其他,reclassified,1,0,资本动作,大致确定,标题像流程公告，但可能包含重大事项,user_numeric_review,2026-06-14,1,0,2,2,3,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
97,300098|2016-12-13|其他,高新兴,300098,2016-12-13,2016年第六次临时股东大会决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
98,300098|2017-01-21|其他,高新兴,300098,2017-01-21,第四届董事会第七次会议决议的公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
99,300098|2016-12-01|其他,高新兴,300098,2016-12-01,关于受让深圳市中兴物联科技有限公司11.43%股权的公告,其他,reclassified,1,0,资本动作,很确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,1,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
100,300098|2016-12-27|其他,高新兴,300098,2016-12-27,关于PPP项目预成交的提示性公告,其他,reclassified,1,0,客户/订单,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,5,2,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
