事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2020-01-22,移为通信,业绩信号,略增 预计净利润16000-17000万,2,73.429503,93.6642,20.234697,0.275566307455465,0.1213336307493129,1.0,7.0,-0.1687993333333334,-0.1565135476190478,-11.492712014433511,40.63189845238097
2017-10-17,移为通信,其他,2017年第二次临时股东大会的法律意见书,7,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,40.104083333333335
2017-08-11,移为通信,业绩信号,2017年半年度报告,3,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,39.70408333333333
2017-10-30,移为通信,业绩信号,2017年第三季度报告全文,2,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,39.104083333333335
2017-09-25,移为通信,风险事件,关于重大资产重组的一般风险提示公告,2,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,39.104083333333335
2019-07-12,移为通信,业绩信号,2019年半年度业绩预告,1,55.520262,48.705384,-6.814877999999997,-0.1227457824316462,0.0621793768536425,5.0,5.0,-0.095797,-0.3931515499999999,-21.827877061706097,39.05705625
2017-04-08,移为通信,政策/行业,关于公司创新成果转化项目获得政府资助暨收到上市补贴专项资金的公告,1,53.76,51.904,-1.856,-0.0345238095238095,-0.0924546330754077,1.0,3.0,-0.0684499999999999,-0.4419833333333333,-23.761024,38.99641666666667
2017-09-22,移为通信,其他,国信证券股份有限公司关于公司使用部分闲置募集资金暂时补充流动资金的核查意见,5,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.90408333333333
2017-08-11,移为通信,其他,独立董事关于第一届董事会第二十一次会议相关事项的独立意见,5,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.90408333333333
2017-12-08,移为通信,资本动作,关于终止重大资产重组暨股票复牌的公告,3,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.70408333333333
2020-01-23,移为通信,产品/技术创新,全年业绩符合预期，借力物联网及车联网大发展，高质量、稳健增长趋势将持续保持,1,80.777298,86.574789,5.797491000000004,0.0717712914834067,0.0726251806630999,4.0,8.0,-0.1508169761904762,-0.2615655714285715,-21.128560109826005,38.69334023809525
2017-11-20,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/11/20),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-10-30,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/10/30),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-11-06,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/11/06),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-10-12,移为通信,风险事件,:移为通信非许可类重组问询函,1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-10-18,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/10/18),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-11-27,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/11/27),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-12-04,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/12/04),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-11-13,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/11/13),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-10-23,移为通信,风险事件,关于延期回复深圳证券交易所重组问询函暨股票继续停牌的公告(2017/10/23),1,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.50408333333333
2017-07-31,移为通信,资本动作,关于重大资产重组停牌的进展公告,2,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.104083333333335
2017-09-14,移为通信,资本动作,国信证券股份有限公司关于公司重大资产重组申请延期复牌的独立财务顾问核查意见,2,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,38.104083333333335
2017-09-14,移为通信,其他,第一届董事会第二十三次会议决议公告,3,48.72,43.76,-4.96,-0.1018062397372742,0.0155660452173535,4.0,4.0,0.1588166666666666,-0.1578166666666666,-7.688827999999997,37.70408333333333
2020-01-22,移为通信,资本动作,2019年业绩预告点评：业绩快速增长，Q4净利润创单季度新高,2,73.429503,93.6642,20.234697,0.275566307455465,0.1213336307493129,1.0,7.0,-0.1687993333333334,-0.1565135476190478,-11.492712014433511,37.63189845238097
