base_feature,representation,column,missing_rate,ic_train,ic_test,n_train,n_test,sign_stable_nontrivial
bal_liability_to_assets,selfz,bal_liability_to_assets__selfz,0.0506,0.0741,-0.0084,3739,1604,False
fin_bps,xsdemed,fin_bps__xsdemed,0.0753,-0.0153,-0.0084,3595,1605,False
fin_roa,yoy,fin_roa__yoy,0.1477,0.025,0.0082,3190,1552,False
peer_avg_turnover_avg_m5_m1,selfz,peer_avg_turnover_avg_m5_m1__selfz,0.0444,0.0044,-0.008,3867,1617,False
text_money_word_count,raw,text_money_word_count,0.0,-0.0083,0.0077,3905,1620,False
text_money_word_count,xsdemed,text_money_word_count__xsdemed,0.0,-0.0083,0.0077,3905,1620,False
mgmt_institution_count_sum_m30,selfz,mgmt_institution_count_sum_m30__selfz,0.6865,0.1721,-0.0074,963,838,False
rel_to_peer_ps_pre,xsrank,rel_to_peer_ps_pre__xsrank,0.0395,-0.0782,-0.0072,3895,1620,False
mgmt_signal_count_m30,xsrank,mgmt_signal_count_m30__xsrank,0.0,0.0095,0.0062,3905,1620,False
inc_net_margin_calc,selfz,inc_net_margin_calc__selfz,0.0506,0.0878,-0.006,3739,1604,False
text_tech_keyword_count,yoy,text_tech_keyword_count__yoy,0.0505,0.0515,-0.0055,3697,1620,False
mgmt_ir_qa_count_m30,raw,mgmt_ir_qa_count_m30,0.0,,0.0047,3905,1620,False
mgmt_ir_qa_count_m30,yoy,mgmt_ir_qa_count_m30__yoy,0.0505,,0.0047,3697,1620,False
peer_avg_turnover_avg_m60_m1,xsdemed,peer_avg_turnover_avg_m60_m1__xsdemed,0.0508,0.0889,-0.0045,3830,1613,False
evt_money_count,xsrank,evt_money_count__xsrank,0.0,0.0148,-0.0044,3905,1620,False
fin_roe,xsrank,fin_roe__xsrank,0.0753,0.0649,0.0041,3595,1605,False
peer_avg_ret_m20_m1,yoy,peer_avg_ret_m20_m1__yoy,0.1114,-0.0203,0.0039,3490,1568,False
text_ir_keyword_count,raw,text_ir_keyword_count,0.0,-0.0268,-0.0038,3905,1620,False
text_ir_keyword_count,xsdemed,text_ir_keyword_count__xsdemed,0.0,-0.0268,-0.0038,3905,1620,False
mgmt_signal_count_m30,raw,mgmt_signal_count_m30,0.0,0.0368,0.0037,3905,1620,False
rel_to_peer_turnover_avg_m60_m1,selfz,rel_to_peer_turnover_avg_m60_m1__selfz,0.056,-0.1341,-0.0036,3800,1610,False
evt_percent_max_abs,yoy,evt_percent_max_abs__yoy,0.9745,0.1105,0.0036,101,42,False
group_event_count,yoy,group_event_count__yoy,0.0505,-0.0253,-0.003,3697,1620,False
group_evidence_count,yoy,group_evidence_count__yoy,0.0505,-0.0253,-0.003,3697,1620,False
mgmt_ir_qa_count_m180,xsrank,mgmt_ir_qa_count_m180__xsrank,0.0,-0.014,0.0025,3905,1620,False
mgmt_ir_qa_count_m90,xsrank,mgmt_ir_qa_count_m90__xsrank,0.0,-0.014,0.0025,3905,1620,False
fin_roe,xsdemed,fin_roe__xsdemed,0.0753,0.0842,-0.002,3595,1605,False
cf_operating_cash_to_assets,xsdemed,cf_operating_cash_to_assets__xsdemed,0.0342,0.0039,0.0018,3826,1619,False
text_policy_keyword_count,xsrank,text_policy_keyword_count__xsrank,0.0,0.0451,0.0017,3905,1620,False
peer_avg_pb_pre,raw,peer_avg_pb_pre,0.0395,-0.0657,-0.0014,3895,1620,False
mkt_ret_m5_m1,raw,mkt_ret_m5_m1,0.0239,-0.0221,0.0013,3897,1620,False
ps_pre,xsrank,ps_pre__xsrank,0.0205,-0.0522,-0.0013,3897,1620,False
