ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
002151.SZ,20221125,0,0.0,0.0,51278.4757,0.0
002151.SZ,20221118,0,0.0,0.0,51321.6997,0.0
002151.SZ,20221111,0,0.0,0.0,51321.6997,0.0
002151.SZ,20221104,0,0.0,0.0,51321.6997,0.0
002151.SZ,20221028,0,0.0,0.0,51321.6997,0.0
002151.SZ,20221021,0,0.0,0.0,51321.6997,0.0
002151.SZ,20221014,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220930,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220923,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220916,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220909,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220902,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220826,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220819,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220812,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220805,0,0.0,0.0,51321.6997,0.0
002151.SZ,20220729,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220722,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220715,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220708,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220701,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220624,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220617,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220610,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220602,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220527,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220520,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220513,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220506,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220429,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220422,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220415,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220408,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220401,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220325,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220318,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220311,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220304,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220225,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220218,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220211,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220128,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220121,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220114,0,0.0,0.0,51219.9997,0.0
002151.SZ,20220107,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211231,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211224,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211217,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211210,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211203,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211126,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211119,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211112,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211105,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211029,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211022,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211015,0,0.0,0.0,51219.9997,0.0
002151.SZ,20211008,0,0.0,0.0,51219.9997,0.0
002151.SZ,20210930,0,0.0,0.0,51219.9997,0.0
002151.SZ,20210924,0,0.0,0.0,51219.9997,0.0
002151.SZ,20210917,0,0.0,0.0,51219.9997,0.0
002151.SZ,20210910,0,0.0,0.0,51219.9997,0.0
002151.SZ,20210903,0,0.0,0.0,51219.9997,0.0
002151.SZ,20210827,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210820,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210813,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210806,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210730,0,0.0,0.0,50772.9997,0.0
002151.SZ,20210723,0,0.0,0.0,50772.9997,0.0
