LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
东软载波,300183,300183,14只创业板股最新股东户数降逾一成,300396 ST迪瑞 12956 -0.71 -11.35 医药生物 300595 欧普康视 58544 -0.69 -14.79 医药生物 300255 常山药业 46912 -0.65 -1.51 医药生物 300504 天邑股份 21941 -0.65 -1.02 通信 300183,2026-06-10 11:15:00,证券时报网,http://finance.eastmoney.com/a/202606103766452066.html
东软载波,300183,300183,167只创业板股最新筹码趋向集中,300396 ST迪瑞 12956 -0.71 -9.23 医药生物 300595 欧普康视 58544 -0.69 -14.02 医药生物 300255 常山药业 46912 -0.65 -8.51 医药生物 300504 天邑股份 21941 -0.65 -0.70 通信 300183,2026-06-09 10:39:00,证券时报网,http://finance.eastmoney.com/a/202606093764836713.html
东软载波,300183,300183,东软载波300183.SZ)：2026年一季报净利润为-2258.74万元，同比由盈转亏,2026年4月24日，东软载波300183.SZ)发布2026年一季报。 公司营业总收入为1.75亿元，较去年同报告期营业总收入减少6214.43万元，同比较去年同期下降26.15%。,2026-04-24 09:57:09,界面新闻,http://finance.eastmoney.com/a/202604243717570354.html
东软载波,300183,300183,3只创业板股最新股东户数降逾一成,301137 哈焊华通 26977 -0.94 -7.07 机械设备 300139 晓程科技 80693 -0.81 -10.64 有色金属 300699 光威复材 95616 -0.80 -10.75 国防军工 300504 天邑股份 21941 -0.65 2.80 通信 300183,2026-06-02 11:29:00,证券时报网,http://finance.eastmoney.com/a/202606023757355417.html
东软载波,300183,300183,21只创业板股最新筹码趋向集中,301137 哈焊华通 26977 -0.94 -7.07 机械设备 300139 晓程科技 80693 -0.81 -10.64 有色金属 300699 光威复材 95616 -0.80 -10.75 国防军工 300504 天邑股份 21941 -0.65 2.80 通信 300183,2026-06-01 17:31:00,证券时报网,http://finance.eastmoney.com/a/202606013756124558.html
东软载波,300183,300183,159只创业板股最新筹码趋向集中,基础化工 300396 ST迪瑞 12956 -0.71 -5.36 医药生物 300595 欧普康视 58544 -0.69 -10.53 医药生物 300255 常山药业 46912 -0.65 -7.13 医药生物 300504 天邑股份 21941 -0.65 5.50 通信 300183,2026-06-08 10:20:00,证券时报网,http://finance.eastmoney.com/a/202606083763095662.html
宜通世纪,300310,300310,宜通世纪300310.SZ)：109名投资者证券虚假陈述责任纠纷案二审受理，公司不服一审赔偿273万元判决提起上诉,2026年5月13日，宜通世纪科技股份有限公司（300310.SZ）发布公告称，公司于2026年5月13日收到广东省高级人民法院送达的《受理案件通知书》（2026）粤民终973号，涉及原告陈华、阮良等109名投资者与公司证券虚假陈述责任纠纷一案，二审已获受理。,2026-05-13 18:27:46,界面新闻,http://finance.eastmoney.com/a/202605133736050391.html
宜通世纪,300310,300310,共封装光学(CPO)概念上涨4.56%，46股主力资金净流入超亿元,1.46 300287 飞利信 2.17 1.71 273.34 3.25 300739 明阳电路 3.77 4.65 260.15 0.58 688655 迅捷兴 1.14 6.56 237.80 0.54 605058 澳弘电子 1.57 3.31 209.25 1.19 300310,2026-06-09 16:36:00,证券时报网,http://finance.eastmoney.com/a/202606093765151322.html
宜通世纪,300310,300310,通信行业6月2日资金流向日报,1.34 -2720.83 002115 三维通信 -1.39 4.15 -2671.45 003031 中瓷电子 3.90 3.19 -2592.12 002104 恒宝股份 -3.04 3.66 -2483.22 300913 兆龙互连 1.41 9.05 -2376.73 300310,2026-06-02 16:53:00,证券时报网,http://finance.eastmoney.com/a/202606023757593425.html
宜通世纪,300310,300310,宜通世纪300310.SZ)：2026年一季报净利润为-505.21万元,2026年4月23日，宜通世纪300310.SZ)发布2026年一季报。 公司营业总收入为5.01亿元，较去年同报告期营业总收入减少1.08亿元，同比较去年同期下降17.68%。归母净利润为-505.21万元。,2026-04-23 09:35:48,界面新闻,http://finance.eastmoney.com/a/202604233715526056.html
宜通世纪,300310,300310,共封装光学(CPO)概念涨2.55%，主力资金净流入113股,688170 德龙激光 1.23 8.13 -458.15 -0.75 688609 九联科技 0.95 5.88 -505.97 -1.47 600699 均胜电子 2.20 3.22 -519.06 -0.44 688516 奥特维 -0.10 3.44 -619.33 -0.97 300310,2026-06-03 16:46:00,证券时报网,http://finance.eastmoney.com/a/202606033759064467.html
宜通世纪,300310,300310,通信行业资金流入榜：中兴通讯等16股净流入资金超亿元,14.03 -4951.66 300571 平治信息 -0.66 15.33 -4654.14 301382 蜂助手 -2.09 4.72 -4094.83 601869 长飞光纤 1.22 2.87 -3866.40 603236 移远通信 -1.31 3.24 -3692.08 300310,2026-05-28 17:25:00,证券时报网,http://finance.eastmoney.com/a/202605283752865517.html
宜通世纪,300310,300310,266.76亿主力资金净流入，共封装光学(CPO)概念涨3.48%,振芯科技 -2.22 2.28 -1602.73 -7.43 301095 广立微 -1.57 3.65 -2005.47 -3.58 300480 光力科技 0.77 5.10 -2026.62 -4.52 688328 深科达 -0.03 7.39 -2224.09 -4.36 300310,2026-06-02 16:53:00,证券时报网,http://finance.eastmoney.com/a/202606023757592663.html
宜通世纪,300310,300310,共封装光学(CPO)概念下跌3.54%，63股主力资金净流出超亿元,1.56 3.55 -749.94 000823 超声电子 -2.15 9.34 -678.24 300077 国民技术 -1.39 7.06 -677.46 000818 航锦科技 0.00 2.79 -597.20 301172 君逸数码 1.06 6.09 -591.81 300310,2026-06-01 17:32:00,证券时报网,http://finance.eastmoney.com/a/202606013756126176.html
宜通世纪,300310,300310,今日突破年线个股,2.49 7.81 8.93 9.04 1.26 002881 美格智能 2.48 10.22 45.29 45.85 1.24 002917 金奥博 1.74 7.01 13.89 14.06 1.22 688768 容知日新 1.59 3.54 48.10 48.60 1.04 300310,2026-05-21 15:51:00,证券时报网,http://finance.eastmoney.com/a/202605213745172151.html
宜通世纪,300310,300310,今日33只个股突破半年线,4.17 25.93 26.14 0.79 003021 兆威机电 1.71 5.87 110.65 111.47 0.74 002422 科伦药业 1.35 1.18 32.16 32.39 0.71 688192 迪哲医药 10.69 2.19 57.21 57.56 0.61 300310,2026-05-21 15:51:00,证券时报网,http://finance.eastmoney.com/a/202605213745172088.html
华测导航,300627,300627,29家公司重要股东开启增持模式 累计增持15.30亿元（附股）,（数据宝） 近5日重要股东增持股一览  代码 简称 增持股东数 增持次数 合计增持量（万股） 增持金额（万元） 近5日涨跌幅（%） 300627 华测导航 1 3 1261.00 38828.22 3.17 600141 兴发集团 1 1 1188.93 35893.85,2026-06-15 09:21:00,证券时报网,http://finance.eastmoney.com/a/202606153770864793.html
华测导航,300627,300627,14只个股大宗交易超5000万元,9.48 829.37 6975.01 2 8.41 -11.29 301511 德福科技 -2.57 133.57 50.00 6578.50 1 131.57 -1.50 603568 伟明环保 2.93 16.18 450.00 6390.00 2 14.20 -12.24 300627,2026-06-11 21:34:00,证券时报网,http://finance.eastmoney.com/a/202606113768595253.html
华测导航,300627,300627,7只个股大宗交易超5000万元,170.80 23228.80 32 136.00 -18.11 001301 尚太科技 -2.56 87.70 123.15 10651.24 1 86.49 -1.38 603588 高能环境 1.90 14.47 720.40 9487.69 13 13.17 -8.98 300627,2026-06-10 21:44:00,证券时报网,http://finance.eastmoney.com/a/202606103766998679.html
华测导航,300627,300627,16只个股大宗交易超5000万元,141.02 92.56 13052.08 4 141.01 -0.01 603127 昭衍新药 0.19 31.43 429.00 12784.20 1 29.80 -5.19 688549 中巨芯-U 18.08 22.66 500.00 11160.00 1 22.32 -1.50 300627,2026-06-09 21:18:00,证券时报网,http://finance.eastmoney.com/a/202606093765374475.html
华测导航,300627,300627,通信行业今日净流出资金91.16亿元，新易盛等14股净流出资金超亿元,0.62 8.29 3456.48 688182 灿勤科技 0.34 3.15 2472.04 600941 中国移动 -0.89 1.07 1939.08 301428 世纪恒通 2.28 17.09 1873.74 002396 星网锐捷 -1.79 3.97 1812.03 300627,2026-06-12 16:56:00,证券时报网,http://finance.eastmoney.com/a/202606123769962061.html
华测导航,300627,300627,7只个股大宗交易超5000万元,474.01 19.30 8736.73 5 452.68 -4.50 688551 科威尔 8.54 58.70 180.00 8209.20 6 45.61 -22.31 301319 唯特偶 19.80 143.49 69.10 8153.80 19 118.00 -17.76 300627,2026-06-08 20:51:00,证券时报网,http://finance.eastmoney.com/a/202606083763851837.html
华测导航,300627,300627,通信行业今日净流入资金90.02亿元，新易盛等19股净流入资金超亿元,4.66 23023.90 688668 鼎通科技 8.92 5.68 18352.39 301205 联特科技 12.61 14.09 14741.09 600198 大唐电信 10.01 2.07 14202.15 688313 仕佳光子 7.78 5.49 13799.04 300627,2026-06-09 16:35:00,证券时报网,http://finance.eastmoney.com/a/202606093765149613.html
华测导航,300627,300627,5只个股大宗交易超5000万元,成交量（万股） 成交额（万元） 笔数 成交价（元） 折溢价（%） 603194 中力股份 -0.48 35.38 792.45 30984.80 1 39.10 10.51 002602 世纪华通 0.40 14.94 1000.00 14420.00 2 14.42 -3.48 300627,2026-06-05 21:19:00,证券时报网,http://finance.eastmoney.com/a/202606053762240285.html
华测导航,300627,300627,华测导航：董事、总经理朴东国拟2500万元—3500万元增持公司股份,人民财讯6月1日电，华测导航3006276月1日公告，公司董事、总经理朴东国拟自2026年6月2日起6个月内，以自有资金或自筹资金通过深交所允许的方式（包括但不限于集中竞价和大宗交易等）增持公司股份，拟增持总金额不低于2500万元，且不超过3500万元。,2026-06-01 19:07:00,证券时报网,http://finance.eastmoney.com/a/202606013756173421.html
华测导航,300627,300627,华测导航：赵延平及太禾行1088万股质押延期购回 占总股本的1.38%,5月27日，华测导航（300627）发布公告，控股股东赵延平及其一致行动人太禾行1088万股质押延期，占其所持股份的4.46%及公司总股本的1.38%。 截至公告披露日，赵延平及其一致行动人累计质押股份数量为2688万股，占其合计所持股份比例为10.75%。,2026-05-27 19:36:00,财中社,http://finance.eastmoney.com/a/202605273751466030.html
力合微,688589,688589,融资客看好2股 买入占成交比例超三成,937.07 3824.87 24.50 0.26 688805 健信超导 1660.97 6820.07 24.35 1.98 920000 安徽凤凰 200.53 828.59 24.20 1.84 601199 江南水务 1796.38 7450.48 24.11 0.00 688589,2026-06-15 10:07:00,证券时报网,http://finance.eastmoney.com/a/202606153771117671.html
