ts_code,ann_date,subtype,scope,event_day,rel,pe_pre,val_pct,firm
603236.SH,20210824,分红/权益分派,14firm,20210824,0.04510024199445739,126.9003,0.6638805970149254,移远通信
603236.SH,20210420,分红/权益分派,14firm,20210420,-0.21756150587714101,175.1384,0.937910447761194,移远通信
603236.SH,20200825,分红/权益分派,14firm,20200825,0.051211840218250815,146.7117,0.8501492537313433,移远通信
603236.SH,20200415,分红/权益分派,14firm,20200415,0.3123754956363995,79.4236,0.49134328358208956,移远通信
603236.SH,20190829,分红/权益分派,14firm,20190829,0.41673559523240516,64.6497,0.41134328358208955,移远通信
301608.SZ,20260421,分红/权益分派,14firm,20260421,0.048829135917920326,43.9617,0.7088888888888889,博实结
301608.SZ,20250828,分红/权益分派,14firm,20250828,0.1598541978898837,45.1119,0.7844444444444445,博实结
301608.SZ,20250423,分红/权益分派,14firm,20250423,-0.033688163466121177,36.5486,0.29333333333333333,博实结
301608.SZ,20240829,分红/权益分派,14firm,20240829,0.035435572000818316,26.6746,0.04666666666666667,博实结
300638.SZ,20260331,分红/权益分派,14firm,20260331,-0.2029641425723074,34.5994,0.22127084272194683,广和通
300638.SZ,20250827,分红/权益分派,14firm,20250827,-0.022487423280155763,37.0371,0.2789544840018026,广和通
300638.SZ,20250419,分红/权益分派,14firm,20250421,-0.06160728640729879,34.4183,0.21856692203695358,广和通
300638.SZ,20240829,分红/权益分派,14firm,20240829,0.08183231749148961,14.7019,0.006309148264984227,广和通
300638.SZ,20240326,分红/权益分派,14firm,20240326,-0.009226388390629565,35.1321,0.23479044614691302,广和通
300638.SZ,20230805,分红/权益分派,14firm,20230807,-0.057982436933811866,48.1239,0.4281207751239297,广和通
300638.SZ,20230424,分红/权益分派,14firm,20230424,0.13673189043949827,36.3463,0.2609283461018477,广和通
300638.SZ,20220809,分红/权益分派,14firm,20220809,-0.10815457951849419,44.2847,0.3911671924290221,广和通
300638.SZ,20220330,分红/权益分派,14firm,20220330,0.0702319367160745,53.5817,0.4515547543938711,广和通
300638.SZ,20210821,分红/权益分派,14firm,20210823,-0.13905961949040035,76.8191,0.7025687246507436,广和通
300638.SZ,20210417,分红/权益分派,14firm,20210419,0.11623654119893247,81.5144,0.7841369986480397,广和通
300638.SZ,20200801,分红/权益分派,14firm,20200803,0.059596911604594724,96.3107,0.9391617845876521,广和通
300638.SZ,20200415,分红/权益分派,14firm,20200415,0.07963733098585143,111.1044,0.9842271293375394,广和通
300638.SZ,20190829,分红/权益分派,14firm,20190829,-0.11067874180059777,93.7709,0.925191527715187,广和通
300638.SZ,20190308,分红/权益分派,14firm,20190308,0.057714664284293615,136.5042,0.9986480396575034,广和通
300638.SZ,20180807,分红/权益分派,14firm,20180807,-0.02839258916265401,70.7566,0.6173952230734565,广和通
300638.SZ,20180413,分红/权益分派,14firm,20180413,0.008947017183688214,83.7071,0.832807570977918,广和通
688080.SH,20260422,分红/权益分派,14firm,20260422,-0.2556042704945712,32.2837,0.439167208848406,映翰通
688080.SH,20250822,分红/权益分派,14firm,20250822,0.07513079482168508,29.2138,0.38061158100195186,映翰通
688080.SH,20250423,分红/权益分派,14firm,20250423,-0.09808092944707109,34.7679,0.47690305790500975,映翰通
688080.SH,20240823,分红/权益分派,14firm,20240823,0.07307185636128945,18.0183,0.008458035133376708,映翰通
688080.SH,20240419,分红/权益分派,14firm,20240419,-0.02651208607487658,33.6464,0.45933636955107354,映翰通
688080.SH,20230823,分红/权益分派,14firm,20230823,-0.07163510178151196,41.1792,0.5875081327260898,映翰通
688080.SH,20230426,分红/权益分派,14firm,20230426,0.04369169848506751,30.7023,0.405985686402082,映翰通
688080.SH,20220826,分红/权益分派,14firm,20220826,-0.10942317522137598,25.1681,0.225113858165257,映翰通
688080.SH,20220426,分红/权益分派,14firm,20220426,-0.18137161526361884,51.3661,0.7007156798959011,映翰通
688080.SH,20210820,分红/权益分派,14firm,20210820,-0.1962589602467636,89.3459,0.9251789199739753,映翰通
688080.SH,20210428,分红/权益分派,14firm,20210428,0.044442246104886646,39.9953,0.5484710474951203,映翰通
688080.SH,20200826,分红/权益分派,14firm,20200826,0.0765977304885523,76.5775,0.8542615484710475,映翰通
688080.SH,20200428,分红/权益分派,14firm,20200428,0.0270495846858151,93.3774,0.9420949902407287,映翰通
300098.SZ,20260418,分红/权益分派,14firm,20260420,0.01206587815090427,,,高新兴
300098.SZ,20250819,分红/权益分派,14firm,20250819,0.11289624278154345,,,高新兴
300098.SZ,20250419,分红/权益分派,14firm,20250421,0.004897315195591001,,,高新兴
300098.SZ,20240830,分红/权益分派,14firm,20240830,0.17610362813726071,,,高新兴
