analysis_group_id,event_date,as_of_date,source_count,evidence_count,group_event_count,group_source_count,group_evidence_count,keyword_score_num,source_weight_num,signal_strength_num,has_pdf_num,pre_total_mv_yi,text_char_len,text_digit_count,text_percent_count,text_money_word_count,text_risk_keyword_count,text_has_risk_keyword,text_growth_keyword_count,text_has_growth_keyword,text_capital_keyword_count,text_has_capital_keyword,text_ir_keyword_count,text_has_ir_keyword,text_tech_keyword_count,text_has_tech_keyword,text_order_keyword_count,text_has_order_keyword,text_policy_keyword_count,text_has_policy_keyword,text_finance_keyword_count,text_has_finance_keyword,category_业绩信号,category_产品/技术创新,category_其他,category_客户/订单,category_政策/行业,category_管理层/投关信号,category_资本动作,category_风险事件,source_has_announcement,source_has_express,source_has_forecast,source_has_institution_survey,source_has_irm_qa,source_has_news,source_has_repurchase,source_has_research_report
300098|2021-01-30|资本动作,2021-01-30,2021-01-30,1,1,2,1,2,1,4,1,0,57.14914451,115,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
603236|2021-01-20|产品/技术创新,2021-01-20,2021-01-20,1,1,1,1,1,1,4,1,0,220.45296,120,8,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300638|2023-04-24|其他,2023-04-24,2023-04-24,1,1,26,1,26,0,4,1,0,145.87428979,218,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2021-08-28|其他,2021-08-28,2021-08-28,1,1,5,1,5,0,4,1,0,71.07529505000001,136,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300638|2019-04-19|政策/行业,2019-04-19,2019-04-19,1,1,1,1,1,1,4,1,0,79.25734440000001,82,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
688159|2024-04-30|其他,2024-04-30,2024-04-30,1,1,28,1,28,0,4,1,0,41.53197635,195,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002313|2025-01-03|其他,2025-01-03,2025-01-03,1,1,1,1,1,0,4,1,0,28.8288,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
603236|2023-07-08|产品/技术创新,2023-07-08,2023-07-08,1,1,1,1,1,1,4,1,0,146.17763557,150,8,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300638|2023-05-18|管理层/投关信号,2023-05-18,2023-05-18,1,1,1,1,1,2,4,1,0,140.63291921,70,16,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
300590|2024-04-22|风险事件,2024-04-22,2024-04-22,1,1,1,1,1,1,4,1,0,55.69966875,76,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
300590|2024-04-22|管理层/投关信号,2024-04-22,2024-04-22,1,1,1,1,1,1,4,1,0,55.69966875,94,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
300098|2012-04-21|业绩信号,2012-04-21,2012-04-21,1,1,2,1,2,2,4,1,0,19.16226,71,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
688159|2023-03-08|其他,2023-03-08,2023-03-08,1,1,14,1,14,0,4,1,0,17.32742456,222,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002313|2017-06-14|其他,2017-06-14,2017-06-14,1,1,1,1,1,0,4,1,0,62.868,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002970|2024-04-02|资本动作,2024-04-02,2024-04-02,1,1,1,1,1,1,4,1,0,46.8721056,54,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
300098|2017-05-20|其他,2017-05-20,2017-05-20,1,1,1,1,1,0,4,1,0,135.99961248000002,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002313|2024-09-26|资本动作,2024-09-26,2024-09-26,1,1,2,1,2,1,4,1,0,24.97248,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
002313|2023-05-18|风险事件,2023-05-18,2023-05-18,1,1,1,1,1,2,4,1,0,26.32032,60,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
002881|2024-02-01|资本动作,2024-02-01,2024-02-01,1,1,4,1,4,1,5,1,0,49.15639459,113,18,0,2,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
002881|2025-04-28|其他,2025-04-28,2025-04-28,1,1,22,1,22,0,4,1,0,118.85803718,171,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2018-12-25|资本动作,2018-12-25,2018-12-25,1,1,1,1,1,2,4,1,0,109.3985864,88,6,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
002313|2024-04-13|其他,2024-04-13,2024-04-13,1,1,3,1,3,0,4,1,0,35.530559999999994,103,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2021-11-03|风险事件,2021-11-03,2021-11-03,1,1,2,1,2,1,4,1,0,76.4624201,103,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
300098|2015-07-29|其他,2015-07-29,2015-07-29,1,1,2,1,2,0,4,1,0,84.84586848000001,85,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300590|2017-04-19|其他,2017-04-19,2017-04-19,1,1,1,1,1,0,4,1,0,51.672,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2013-01-31|风险事件,2013-01-31,2013-01-31,1,1,1,1,1,5,5,1,0,14.138279999999998,391,56,0,6,2,1,1,1,0,0,1,1,3,1,3,1,4,1,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
603236|2021-01-07|其他,2021-01-07,2021-01-07,1,1,1,1,1,0,4,1,0,208.2103296,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
